java_dualqsort,implementedQuicksort
179,183
143,144
124,136
129,134
123,138
122,127
124,144
124,115
121,140
125,113
121,153
126,111
121,115
131,188
128,134
128,142
128,134
140,123
132,116
125,111
127,128
123,110
135,113
129,123
161,135
136,201
129,117
121,112
128,114
138,115
121,231
125,129
126,133
122,129
124,132
127,201
126,116
121,111
125,108
129,111
123,117
122,212
130,115
123,116
128,108
134,109
141,111
131,220
122,125
133,132
129,128
132,137
157,139
149,181
132,120
132,116
153,120
156,118
141,122
127,112
150,123
150,124
161,126
150,126
129,115
130,217
139,113
136,119
132,114
129,117
133,124
141,115
140,126
160,131
142,118
138,117
138,117
133,114
139,114
233,108
139,121
140,119
134,114
131,116
133,122
135,116
132,254
138,119
141,124
135,116
127,122
133,113
134,108
129,113
132,261
150,130
131,113
133,116
134,129
133,118
137,118
135,117
144,282
130,121
138,136
134,112
143,118
137,117
136,118
135,191
133,116
137,136
144,128
135,120
134,115
135,119
137,216
136,116
139,120
134,124
128,114
132,116
139,125
137,118
130,249
132,116
132,114
132,116
130,113
131,117
131,111
131,116
132,247
140,119
137,118
130,113
137,115
131,118
130,110
138,108
129,111
130,234
132,112
128,113
131,114
130,108
128,116
129,117
129,114
129,113
122,115
130,111
129,107
130,112
129,114
131,117
127,108
132,107
127,256
128,115
131,119
130,115
132,116
130,116
131,122
135,111
124,113
130,111
129,113
135,112
129,112
131,115
130,112
129,118
124,122
139,116
137,132
145,116
157,121
140,116
131,112
130,111
130,236
134,113
130,109
132,110
130,112
131,108
135,110
131,112
130,241
134,108
133,109
130,109
137,114
130,112
135,120
152,122
157,124
142,263
