java_dualqsort,implementedQuicksort
165,130
150,122
150,118
152,92
149,105
160,118
148,101
148,103
149,131
153,87
147,117
148,88
146,124
148,101
145,101
147,91
147,136
149,100
151,90
149,125
151,100
150,95
145,103
147,99
147,99
146,156
148,86
147,94
149,138
149,94
172,100
157,93
158,96
151,93
151,134
149,93
153,109
148,101
151,102
151,106
153,115
150,100
149,101
148,99
147,179
148,90
151,89
152,93
152,100
151,90
152,184
149,89
151,92
150,89
147,99
151,103
155,98
158,106
151,103
152,161
150,90
150,92
152,91
152,90
153,165
150,90
152,91
155,96
150,90
155,165
160,91
149,90
150,109
150,100
150,97
154,87
150,137
149,89
155,110
145,103
152,101
150,102
162,106
149,99
149,99
151,107
153,106
158,197
150,87
153,89
151,88
150,92
150,90
153,91
149,89
149,212
151,93
151,90
149,89
151,88
150,90
147,90
150,90
149,89
149,90
152,165
160,96
149,92
151,139
150,93
158,95
151,115
145,101
155,102
151,106
152,100
150,95
149,103
150,101
153,101
148,103
151,101
147,88
153,94
157,90
150,91
149,90
155,104
154,106
150,90
151,90
150,89
148,90
150,91
150,88
151,130
146,90
155,90
150,131
150,101
161,103
151,100
149,101
157,103
150,171
181,98
154,89
151,91
150,92
151,134
151,104
150,103
154,125
145,101
150,89
152,102
150,104
150,125
151,89
149,128
148,100
148,92
152,129
146,98
145,88
149,104
149,102
150,99
152,103
150,103
152,104
151,99
150,91
153,90
150,87
152,146
153,88
149,89
153,86
144,87
149,92
152,91
152,97
152,89
150,135
150,109
150,100
151,100
149,110
152,100
142,87
154,88
154,93
151,89
150,87
144,87
151,93
151,90
161,89
149,159
